Planet's Name,Planet's Detection Method,Planet's Mass,Planet's Radius,Planet's Period,Planet's Semimajor Axis,Planet's Gravity,Planet's Density,Planet's Hill Sphere,Planet's Distance,Planet's Periastron,Planet's Apastron,Planet's Flux,Planet's Equilibrium Temperature,Planet's Surface Temperature,Planet's Type,Planet's Habitability Zone Location,Planet's Temperature Type,Planet's Habitability,Planet's Earth Similarity Index,Star's Name,Star's Magnitude,Star's Distance,Star's Temperature,Star's Mass,Star's Radius,Star's Temperature Type,Star's Luminosity,Star's Snow Line
Kepler-131 b,Transit,16.13,2.41,16.092,0.127825,2.777156,1.1523469,0.0032093158,0.127825,0.127825,0.127825,64.382583,721.59216,814.92496,Superterran,0,Hot,0,0.25477149,Kepler-131,11.493,228.678,5685,1.02,1.03,G,1.0519619,2.7692602
Kepler-37 e,Transit Timing Variations,8.1,0.37,51.196,0.25,59.167275,159.91156,0.0054099128,0.25,0.25,0.25,7.6228958,423.28191,,Miniterran,0,Hot,0,0.36699887,Kepler-37,9.770001,63.9207,5288,0.8,0.77,K,0.47643099,1.8636475
Qatar-6 b,Transit,212.31044,11.904,3.506195,0.0423,1.4982542,0.12586141,0.0026967754,0.0423,0.0423,0.0423,171.12729,921.36036,,Jovian,0,Hot,0,0.080506376,Qatar-6,11.496,100.848,5052,0.82,0.72,K,0.30619634,1.4940453
Kepler-338 d,Transit,9.27,3,44.431014,0.257,1.03,0.34333333,0.0050744127,0.25711565,0.24929,0.26471,58.388763,704.05845,,Neptunian,0,Hot,0,0.23065572,Kepler-338,12.19,552.798,5923,1.1,1.74,G,3.8547836,5.3010727
HD 165131 b,Radial Velocity,5943.3912,12.1,2342.6,3.54,40.594162,3.3548894,0.20708938,4.3364516,1.165368,5.914632,0.13025708,137.4917,,Jovian,0,Cold,0,0.19064559,HD 165131,8.42,57.4263,5870,1.06,1.06,G,1.2105981,2.970734
HD 185283 b,Radial Velocity,413.17693,13.6,4060,4.6,2.2338718,0.16425528,0.34332708,4.61127,4.278,4.922,0.013018201,85.968157,,Jovian,0,Cold,0,0.079660512,HD 185283,9.03,31.395,4848,0.8,0.74,K,0.27478942,1.4153497
TOI-1685 b,Transit,3.09,1.7,0.6691406,0.011557,1.0692042,0.62894362,0.00021214193,0.011557,0.011557,0.011557,226.62602,988.38729,1116.2281,Superterran,0,Hot,0,0.27552783,TOI-1685,13.378,37.6153,3434,0.5,0.49,M,0.030269134,0.46974673
Kepler-50 b,Transit,8.9,1.71,7.81254,0.077,3.0436716,1.7799249,0.0014857033,0.077,0.077,0.077,579.45345,1249.8398,1411.4976,Superterran,0,Hot,0,0.2713846,Kepler-50,10.544,250.11,6225,1.24,1.58,F,3.4355795,5.0045354
Kepler-93 c,Radial Velocity,954,13.11668,1460,2.4401993,5.5449868,0.42274316,0.2479588,2.4401993,2.4401993,2.4401993,0.13156774,153.4218,,Jovian,0,Cold,0,0.18583992,Kepler-93,9.996,95.9115,5669,0.91,0.92,G,0.78342964,2.3898121
Kepler-103 b,Transit,9.8,3.486,15.965329,0.13223,0.80643861,0.23133638,0.002409181,0.13280183,0.11993261,0.14452739,152.4847,893.71574,,Neptunian,0,Hot,0,0.19962157,Kepler-103,11.883,494.832,6009,1.21,1.49,F,2.6546056,4.3990993
